account_id,customer_id,bank_name,account_type,opening_balance,current_balance,currency,opened_at
acct_4237ed992f,cust_a59e539dc3,HDFC Bank,savings,38827.74,,,
acct_b0b3eeb741,cust_687139b844,ICICI Bank,savings,45920.26,,,
acct_b129854551,cust_d69af2ab6c,Punjab National Bank,savings,17410.88,,,
acct_1bb1995743,cust_df65362828,Bank of Baroda,savings,39067.81,,,
acct_5cbf80c1aa,cust_0d5900be8b,HDFC Bank,savings,33987.58,,,
acct_eb6e531e1e,cust_d5183adc34,HDFC Bank,savings,24258.39,,,
acct_f5f4a1233c,cust_9982e2b097,HDFC Bank,savings,31390.44,,,
acct_73e5a418be,cust_93cc9680d1,Bank of Baroda,savings,32867.33,,,
acct_bb761277c1,cust_315fa06aab,Axis Bank,savings,30109.62,,,
acct_c461527188,cust_c6611e3ac8,State Bank of India,savings,18320.68,,,
acct_68fabec3fd,cust_a6558be157,State Bank of India,savings,48489.67,,,
acct_4d6eebf02c,cust_f2d3299243,HDFC Bank,savings,16171.43,,,
acct_2136cf2f62,cust_3bc7edbc2d,Punjab National Bank,savings,41039.56,,,
acct_516d0d4fc8,cust_191d53f6a7,Bank of Baroda,savings,16619.86,,,
acct_a18b0dcdfb,cust_ca7c4543d8,HDFC Bank,savings,40995.58,,,
acct_c669d726a1,cust_f0163aff9d,Axis Bank,savings,6711.44,,,
acct_e7becedfe1,cust_a43c55a306,ICICI Bank,savings,14669.41,,,
acct_f669548e9f,cust_f1770b15b8,Axis Bank,savings,30931.43,,,
acct_5425cd40ea,cust_d528781648,State Bank of India,savings,24152.31,,,
acct_85bf1d274b,cust_92eeb6df5f,State Bank of India,savings,40686.66,,,
acct_7f4a0557c4,cust_4870b96eed,ICICI Bank,savings,19689.34,,,
acct_041c06e274,cust_f46b8ba450,Bank of Baroda,savings,37815.78,,,
acct_a4db74c79d,cust_f84d8e5a5d,HDFC Bank,savings,22672.6,,,
acct_a118896029,cust_d0af7c1fdf,State Bank of India,savings,5921.3,,,
acct_91963fec4b,cust_881eb42180,State Bank of India,savings,19544.01,,,
acct_725579a3ef,cust_3f1188279e,HDFC Bank,savings,5092.47,,,
acct_b5736ea0f4,cust_261b6177be,Punjab National Bank,savings,49716.72,,,
acct_655a2a85b6,cust_a4c03ec514,Punjab National Bank,savings,49126.67,,,
acct_e605f6bb5c,cust_bc321d1197,Punjab National Bank,savings,11531.69,,,
acct_4fefc34170,cust_6a308e065c,HDFC Bank,savings,20760.29,,,
acct_9db10577ae,cust_4f67cd5729,Punjab National Bank,savings,21853.83,,,
acct_5e983d3cf2,cust_c5502cd78d,ICICI Bank,savings,15526.89,,,
acct_fff1fa1fae,cust_7255628e90,State Bank of India,savings,41397.45,,,
acct_bb4d0b3b50,cust_cb3a3994e1,ICICI Bank,savings,35361.9,,,
acct_bfd469ddc3,cust_f320b75b58,ICICI Bank,savings,33014.5,,,
acct_714fdcf734,cust_d25a0f93aa,State Bank of India,savings,41082.9,,,
acct_5736e176a5,cust_9092bf5b6f,Axis Bank,savings,48299.42,,,
acct_80142d4613,cust_f79e45b97e,HDFC Bank,savings,32715.39,,,
acct_56d3cba4d8,cust_45dab77d11,HDFC Bank,savings,13804.59,,,
acct_9e709802a6,cust_cac42b3e42,HDFC Bank,savings,49432.14,,,
acct_f27eebc674,cust_d7367ccefc,Axis Bank,savings,18520.28,,,
acct_54f94ba624,cust_9f7b66a766,Axis Bank,savings,36515.3,,,
acct_3fa05addd2,cust_aad452e04c,Bank of Baroda,savings,30348.21,,,
acct_63b75877ac,cust_d10262d5a3,Bank of Baroda,savings,40275.47,,,
acct_6e3d7be0be,cust_0e0cc83a66,Bank of Baroda,savings,11605.49,,,
acct_c849e0940d,cust_6de89ed354,Punjab National Bank,savings,22895.45,,,
acct_9a0442ec9c,cust_6f909dd04f,State Bank of India,savings,41678.75,,,
acct_d57b1234b1,cust_f12f28cbaf,ICICI Bank,savings,39816.31,,,
acct_a973fb1ec0,cust_77443db66b,HDFC Bank,savings,42527.04,,,
acct_d697171f8c,cust_98b2bde981,Axis Bank,savings,25940.38,,,
acct_2c9e43b995,cust_5ffc801ed9,Bank of Baroda,savings,6456.65,,,
acct_bcf2b2f7c1,cust_fa5da3e20c,HDFC Bank,savings,48459.6,,,
acct_73f4a0098e,cust_ea35835b80,Axis Bank,savings,35227.02,,,
acct_4403a738cf,cust_d2197aeac1,State Bank of India,savings,35651.01,,,
acct_052c5e1748,cust_48ceebfcf8,Punjab National Bank,savings,38706.12,,,
acct_7dd5fef969,cust_70b1c739fd,State Bank of India,savings,30027.76,,,
acct_6ef35345da,cust_6329514be8,Punjab National Bank,savings,20012.24,,,
acct_1472b507f7,cust_295a97b84f,Bank of Baroda,savings,46208.26,,,
acct_4d73482565,cust_cae5bf49ec,HDFC Bank,savings,38100.69,,,
acct_4811130628,cust_57fa1ec7e5,State Bank of India,savings,34596.2,,,
acct_d53beca96e,cust_95dab75aad,Punjab National Bank,savings,16758.7,,,
acct_4e8e16b6d7,cust_65f1081e62,HDFC Bank,savings,22260.95,,,
acct_247bf57e45,cust_ec4ff2564b,Punjab National Bank,savings,40767.64,,,
acct_0189f371f1,cust_e84fa05608,ICICI Bank,savings,49881.76,,,
acct_060a9d292f,cust_eebbda9b6a,HDFC Bank,savings,46498.54,,,
acct_3a5315fb1a,cust_767341a8db,HDFC Bank,savings,18778.05,,,
acct_01f6e8ac87,cust_b66bad591e,State Bank of India,savings,47266.25,,,
acct_ad1bb8c0c3,cust_12c1deaa05,State Bank of India,savings,41730.23,,,
acct_6b2b521f59,cust_6654a61cc5,State Bank of India,savings,39045.3,,,
acct_225e5793f0,cust_18e35ec06a,Punjab National Bank,savings,29885.38,,,
acct_32dc2b6a84,cust_f8ae7853c3,Bank of Baroda,savings,27931.78,,,
acct_365b8e3101,cust_02d0e9779c,ICICI Bank,savings,15602.37,,,
acct_9a2b7d46a3,cust_33f2b767ba,HDFC Bank,savings,35541.39,,,
acct_7d211eaa0e,cust_36d880f963,HDFC Bank,savings,2832.82,,,
acct_3d7d2499f1,cust_989f000282,Punjab National Bank,savings,39563.14,,,
acct_ebaa91f063,cust_efbd01ea18,Bank of Baroda,savings,27518.66,,,
acct_1dcb6363e8,cust_5ee716a6ea,Punjab National Bank,savings,12474.83,,,
acct_af96c5015e,cust_cc3199a678,Axis Bank,savings,13187.61,,,
acct_1a60a31c53,cust_a5d7a25c17,Punjab National Bank,savings,2169.44,,,
acct_2864916b2f,cust_813bf0f455,HDFC Bank,savings,9841.11,,,
acct_8907f8930c,cust_34d319eea7,HDFC Bank,savings,23670.57,,,
acct_2b6233db22,cust_efd6f723f1,Punjab National Bank,savings,7168.94,,,
acct_f8c9a417fc,cust_3ce7aee54a,HDFC Bank,savings,44905.73,,,
acct_44806c69a9,cust_96a67d9b17,HDFC Bank,savings,11795.18,,,
acct_b4fb8ef119,cust_f6dbe3ec41,Axis Bank,savings,26121.26,,,
acct_63562cfa7b,cust_784764f840,State Bank of India,savings,44084.76,,,
acct_360c581038,cust_905a23ec03,Axis Bank,savings,11736.86,,,
acct_284a3e9027,cust_d6c02e6703,HDFC Bank,savings,27712.97,,,
acct_31ff0bf3ee,cust_c7d5976bb1,Bank of Baroda,savings,34017.18,,,
acct_f6785b64e7,cust_cea44f63c9,Punjab National Bank,savings,44307.26,,,
acct_4b03591722,cust_dbf6de5ea4,ICICI Bank,savings,36144.95,,,
acct_59d51d7a43,cust_9f40883896,Punjab National Bank,savings,38767.53,,,
acct_d26d42d12c,cust_1cb7a4d1fb,Axis Bank,savings,44444.79,,,
acct_fee1773224,cust_896ecde37c,Bank of Baroda,savings,32461.02,,,
acct_a537443d81,cust_6d92fdca3b,HDFC Bank,savings,31336.96,,,
acct_e3534e85da,cust_22b0a59790,Punjab National Bank,savings,47157.01,,,
acct_59d5163b0c,cust_7ce4c82cdb,ICICI Bank,savings,43983.82,,,
acct_410f9b502c,cust_be3576e346,Bank of Baroda,savings,41540.72,,,
acct_1d32e74c02,cust_eca0d27a67,State Bank of India,savings,30485.24,,,
acct_9ac5e4c8dd,cust_ad65ed2880,Bank of Baroda,savings,31684.23,,,
acct_4d51a84a39,cust_5c8017e103,State Bank of India,savings,43329.61,,,
acct_327ac5fa5f,cust_defc11414e,ICICI Bank,savings,45133.55,,,
acct_b020c8beee,cust_4213b56c4b,Punjab National Bank,savings,22130.83,,,
acct_b52b4d215d,cust_6c1415e4f6,ICICI Bank,savings,46634.15,,,
acct_4df068e717,cust_567e7e42e2,Punjab National Bank,savings,28295.18,,,
acct_ea8a724311,cust_837fed8080,ICICI Bank,savings,26475.3,,,
acct_c4442c1614,cust_3a8121e403,Axis Bank,savings,8350.69,,,
acct_c9cc3b750b,cust_301f68f311,HDFC Bank,savings,34833.97,,,
acct_3dd87a0475,cust_72a106cd99,Axis Bank,savings,7939.75,,,
acct_0490dfc2e6,cust_6608dca6e5,Axis Bank,savings,3491.55,,,
acct_3301ab524b,cust_d3eb7eb003,HDFC Bank,savings,33339.57,,,
acct_7f321dccc3,cust_cd99e6f2db,ICICI Bank,savings,8371.03,,,
acct_693b09599a,cust_564375f9ba,ICICI Bank,savings,30165.19,,,
acct_cd2024e919,cust_610d1ff616,HDFC Bank,savings,44455.21,,,
acct_2088908e8b,cust_e85386c1d2,HDFC Bank,savings,7174.18,,,
acct_023dea87ee,cust_e2bb6501c0,ICICI Bank,savings,47572.22,,,
acct_3c4e5c530e,cust_e5389713c5,Punjab National Bank,savings,7805.74,,,
acct_981569e361,cust_99db8d015f,State Bank of India,savings,34299.97,,,
acct_1cd4b58f27,cust_9a3ab5599f,Punjab National Bank,savings,12810.85,,,
acct_d49f432d3e,cust_2ec505c20d,State Bank of India,savings,5054.17,,,
acct_30bb4a12be,cust_503962b0e0,Axis Bank,savings,10352.01,,,
acct_f9e4d2892f,cust_014db0f49a,Punjab National Bank,savings,45550.66,,,
acct_cf5bd1e9fa,cust_5ad90e2a99,Axis Bank,savings,38122.94,,,
acct_f840b2a707,cust_8f4cdda5b3,Punjab National Bank,savings,33103.02,,,
acct_7cc9464621,cust_f46dd8157d,Axis Bank,savings,46765.22,,,
acct_82c1b95050,cust_26bc703f2e,Axis Bank,savings,29297.53,,,
acct_4cc2dea5b4,cust_05c21f3c3e,Bank of Baroda,savings,18503.32,,,
acct_a0c9dfe7c7,cust_997f863439,Axis Bank,savings,6703.9,,,
acct_e7e2e362da,cust_9cb287c935,Punjab National Bank,savings,21584.6,,,
acct_489d594f93,cust_fc108cd1f6,State Bank of India,savings,37399.2,,,
acct_748a307712,cust_3a6b0641c4,Axis Bank,savings,11476.68,,,
acct_207bfe528d,cust_51bf7ed9b9,HDFC Bank,savings,29967.31,,,
acct_a44c7a5154,cust_8473dd4e58,Axis Bank,savings,6354.82,,,
acct_fdc147a7b3,cust_9bef0ebe74,HDFC Bank,savings,12004.04,,,
acct_26359b0be3,cust_52fdd92691,HDFC Bank,savings,4759.42,,,
acct_5a682edcd9,cust_d2cf592da7,ICICI Bank,savings,48042.46,,,
acct_75aaef1e77,cust_c2dda28405,HDFC Bank,savings,49545.31,,,
acct_fbdc7d7c50,cust_0ab1f4a941,State Bank of India,savings,15431.64,,,
acct_30c3679cbe,cust_72f9846712,ICICI Bank,savings,9827.43,,,
acct_4586798932,cust_5baeb13dc7,ICICI Bank,savings,33137.37,,,
acct_91cbb74c85,cust_114deeb62f,Bank of Baroda,savings,32509.27,,,
acct_dbb1eb8c11,cust_cae1bd4444,Bank of Baroda,savings,37549.86,,,
acct_144a8c395f,cust_6103380af6,Axis Bank,savings,15219.54,,,
acct_bca2d99bce,cust_52bf5d45af,HDFC Bank,savings,2004.76,,,
acct_31a64c72b2,cust_62768aaea0,Bank of Baroda,savings,23915.8,,,
acct_eb2ff4cfa9,cust_b10d56aa59,Axis Bank,savings,23352.22,,,
acct_88cd302c39,cust_79e21a705c,Punjab National Bank,savings,2212.58,,,
acct_8567b86860,cust_cf8d9fe751,ICICI Bank,savings,35018.11,,,
acct_22d40f4886,cust_4b6c0686ff,Bank of Baroda,savings,39821.6,,,
acct_4f389707be,cust_35269150f2,HDFC Bank,savings,10614.0,,,
acct_852e352376,cust_600bdade40,HDFC Bank,savings,28974.9,,,
acct_b8a005451e,cust_3b606a439f,State Bank of India,savings,36099.61,,,
acct_eea0d14a28,cust_4d92ee23df,Punjab National Bank,savings,32773.98,,,
acct_3d4c9191b9,cust_75cc9db3d2,HDFC Bank,savings,41565.33,,,
acct_cb901f8d0c,cust_f59f1c5745,HDFC Bank,savings,8878.92,,,
acct_3a9d461f5d,cust_4439b9a854,HDFC Bank,savings,33688.51,,,
acct_c8d312b073,cust_95f77bbf0e,Axis Bank,savings,10910.25,,,
acct_3d11fc4c27,cust_931e13defd,Bank of Baroda,savings,2911.3,,,
acct_48ec6bdbbe,cust_b42e19ec8e,Axis Bank,savings,23454.17,,,
acct_4d3d67f921,cust_3e46c99b4f,ICICI Bank,savings,34398.1,,,
acct_48a734134b,cust_ea537ddc83,HDFC Bank,savings,16145.73,,,
acct_b13397a981,cust_5a51c51f5d,State Bank of India,savings,47899.75,,,
acct_a07efeb158,cust_7024d97cf4,HDFC Bank,savings,36032.64,,,
acct_601cbd84b7,cust_277de89f7d,ICICI Bank,savings,4390.22,,,
acct_6b6bd444fc,cust_89cbed0b2c,Bank of Baroda,savings,46610.96,,,
acct_e1aa592d02,cust_7c58318d95,HDFC Bank,savings,19153.62,,,
acct_196f021035,cust_1d7262baf2,Bank of Baroda,savings,42783.08,,,
acct_a640c64502,cust_295db7a96b,State Bank of India,savings,19548.63,,,
acct_5e9030adfa,cust_e5b63c144d,Bank of Baroda,savings,40477.04,,,
acct_412ff24b72,cust_1615c0e1e4,State Bank of India,savings,11373.82,,,
acct_4ea7d43947,cust_1dc8385011,ICICI Bank,savings,20130.1,,,
acct_aae7d6da1c,cust_bc2d227c5b,HDFC Bank,savings,27168.72,,,
acct_02db0dc31b,cust_61607dd7a8,Axis Bank,savings,47152.02,,,
acct_a29ae967b2,cust_4314c71e09,ICICI Bank,savings,38499.85,,,
acct_c8a2486b0f,cust_3b79f4e8b5,Axis Bank,savings,14468.4,,,
acct_689fc5d1ed,cust_1cf4482503,Punjab National Bank,savings,7426.6,,,
acct_5d4550ba48,cust_8ebe630394,HDFC Bank,savings,16254.17,,,
acct_663fdd3993,cust_86dba16991,HDFC Bank,savings,38563.19,,,
acct_5eafff9319,cust_3e2dc095b9,Axis Bank,savings,48894.55,,,
acct_996c2f5794,cust_c6cdab0743,HDFC Bank,savings,30794.82,,,
acct_43e87f8489,cust_5fbc58b9e8,State Bank of India,savings,28079.08,,,
acct_3fac8a5cc2,cust_5b5fb64ad4,HDFC Bank,savings,36013.56,,,
acct_7133d59781,cust_95388d9a4d,ICICI Bank,savings,41639.33,,,
acct_25c60a92a7,cust_851e156c27,State Bank of India,savings,31688.01,,,
acct_46972f888a,cust_40c4735844,Punjab National Bank,savings,47105.31,,,
acct_2c1ecf1e75,cust_f5e20d3b7f,HDFC Bank,savings,22788.33,,,
acct_8b54858096,cust_66007aa816,Punjab National Bank,savings,11924.83,,,
acct_174f13c591,cust_121e937ec1,HDFC Bank,savings,18639.23,,,
acct_686104502d,cust_116b8d1640,HDFC Bank,savings,20236.32,,,
acct_1dd6831b36,cust_b021971cb9,Punjab National Bank,savings,21035.62,,,
acct_a15908ac5d,cust_08e33bd8ce,State Bank of India,savings,31491.17,,,
acct_911e61a445,cust_eea9b6345a,HDFC Bank,savings,37941.17,,,
acct_6c9d88100e,cust_85c21275e9,Bank of Baroda,savings,26596.97,,,
acct_5729d680ca,cust_0139e70538,Punjab National Bank,savings,48854.35,,,
acct_4e61c882f7,cust_ef170ee650,ICICI Bank,savings,46327.27,,,
acct_24d5591e03,cust_faa32250ba,ICICI Bank,savings,6406.56,,,
acct_f5b8391702,cust_cec494903d,HDFC Bank,savings,2418.07,,,
acct_2d5b5a50b8,cust_35c8f59162,Punjab National Bank,savings,27957.88,,,
acct_abc20d36c6,cust_7d672dfc02,Punjab National Bank,savings,9235.22,,,
acct_3781e0d3b9,cust_72857ef45b,Bank of Baroda,savings,23966.08,,,
acct_dcfc6463a2,cust_f1afab4069,Axis Bank,savings,30109.56,,,
acct_8c19ae9ea3,cust_2c45363389,Axis Bank,savings,30903.98,,,
acct_ae6efae04b,cust_73e649a96d,HDFC Bank,savings,22163.91,,,
acct_8c3d73149c,cust_15ce0dd47b,HDFC Bank,savings,48504.71,,,
acct_ee3d8f4333,cust_22c5b30793,State Bank of India,savings,22592.77,,,
acct_cd2ac3c87f,cust_c2b3f40688,Axis Bank,savings,11145.08,,,
acct_1692accef7,cust_7758358f75,Bank of Baroda,savings,45584.94,,,
acct_6fb378ba47,cust_9dbe68ffb3,ICICI Bank,savings,4345.2,,,
acct_e7a3fe188b,cust_5292c81bd1,Axis Bank,savings,42791.76,,,
acct_5787c2caba,cust_b60cebe2a6,Punjab National Bank,savings,13250.84,,,
acct_35517d4f81,cust_fe03494f3d,ICICI Bank,savings,18753.98,,,
acct_04316efd84,cust_8d292a234a,Punjab National Bank,savings,41838.29,,,
acct_68c9fbe5b5,cust_2d2b771cbd,State Bank of India,savings,47775.74,,,
acct_d150bcd63e,cust_ef88a96b18,Axis Bank,savings,3944.35,,,
acct_d626940dec,cust_4083c47bd4,Punjab National Bank,savings,41609.34,,,
acct_cb66ebe452,cust_f61a5e2746,Axis Bank,savings,49410.71,,,
acct_b7372cbbe2,cust_78cd42919e,ICICI Bank,savings,27970.11,,,
acct_996d01de17,cust_00de15fe97,State Bank of India,savings,35363.55,,,
acct_5ca616df79,cust_995190bc5c,HDFC Bank,savings,8813.29,,,
acct_9415f72be3,cust_50c08ece31,State Bank of India,savings,32212.34,,,
acct_cb80aef1aa,cust_2c54dba060,Axis Bank,savings,9985.71,,,
acct_6ea2183381,cust_ac4ca2accd,Bank of Baroda,savings,33963.58,,,
acct_070d5a8b0f,cust_822dbce94a,State Bank of India,savings,18349.53,,,
acct_4215ee7d4b,cust_b9630c6f6c,Bank of Baroda,savings,2375.8,,,
acct_6f3fc1e5a8,cust_6cdd964740,ICICI Bank,savings,31181.76,,,
acct_1b672e5c7a,cust_4b32160cca,Bank of Baroda,savings,6077.5,,,
acct_92d2e2bcb9,cust_44d36c4187,Bank of Baroda,savings,39695.28,,,
acct_08cd0dc659,cust_5fab406b5c,Punjab National Bank,savings,38755.28,,,
acct_852bce433e,cust_62b045710a,Bank of Baroda,savings,24061.19,,,
acct_579f7abf2f,cust_e0898ec03b,Axis Bank,savings,5388.17,,,
acct_89af37a400,cust_aa05b0010c,State Bank of India,savings,6355.16,,,
acct_e02428dea5,cust_e1c85dd008,State Bank of India,savings,24213.85,,,
acct_9f18e15b71,cust_0e7ce69b59,Axis Bank,savings,6920.17,,,
acct_cb3c2319f1,cust_224386c9d7,Punjab National Bank,savings,18512.22,,,
acct_b510d336ef,cust_8ba50fc050,Bank of Baroda,savings,32388.33,,,
acct_9e4f16f694,cust_d8e3861b01,State Bank of India,savings,35065.37,,,
acct_0905963ae4,cust_6ab4ad25e5,Bank of Baroda,savings,33879.24,,,
acct_23d9ea1c31,cust_1f6e408453,HDFC Bank,savings,49375.87,,,
acct_6102139d84,cust_fc5b27836f,Punjab National Bank,savings,49192.22,,,
acct_7a7739c33a,cust_fd32cc3a73,Punjab National Bank,savings,24564.55,,,
acct_7d63090a8b,cust_672040a7c0,ICICI Bank,savings,4461.65,,,
acct_3b20bbdb39,cust_d6fe9366ea,Axis Bank,savings,47197.06,,,
acct_fcaaa8ebf9,cust_8dd5b1ae00,Bank of Baroda,savings,9501.37,,,
acct_d85cfaea55,cust_41fea1c21c,State Bank of India,savings,42886.45,,,
acct_6d5c0fdcb3,cust_50e8f6d9a0,Bank of Baroda,savings,31200.33,,,
acct_93162ef88f,cust_e7e579d203,HDFC Bank,savings,18986.25,,,
acct_ed4da12e0b,cust_86a4ff109b,ICICI Bank,savings,19807.0,,,
acct_db45ac3939,cust_74607823d7,Axis Bank,savings,26483.99,,,
acct_0c9ba4f05d,cust_a6d67b61a9,Axis Bank,savings,28555.51,,,
acct_bc56c27c58,cust_78dd2c5310,Bank of Baroda,savings,11966.72,,,
acct_f4dddb436e,cust_4ae4b01295,Punjab National Bank,savings,23469.62,,,
acct_1e078c0d05,cust_8e2dfc4de2,Punjab National Bank,savings,45161.78,,,
acct_212967cb4b,cust_4aa3be49b1,Bank of Baroda,savings,13900.64,,,
acct_2e65fd4ef1,cust_aea34ff3fc,State Bank of India,savings,3916.06,,,
acct_8136be1371,cust_0839bf3d3f,Punjab National Bank,savings,45862.28,,,
acct_fa9178d105,cust_7782e9133a,Axis Bank,savings,40867.99,,,
acct_153cb887c0,cust_14a9ee5692,Punjab National Bank,savings,37362.51,,,
acct_1d3124b087,cust_fc2911e17f,Punjab National Bank,savings,8090.33,,,
acct_05222240fb,cust_ce4e5ad0b1,State Bank of India,savings,42815.83,,,
acct_ed334cd90a,cust_653b8e491e,Bank of Baroda,savings,42826.73,,,
acct_4a82959c92,cust_9449061a64,HDFC Bank,savings,47314.31,,,
acct_68c05fff99,cust_f514e14941,ICICI Bank,savings,15186.82,,,
acct_113a00f4fb,cust_38d7463803,ICICI Bank,savings,22824.24,,,
acct_b0239bde9e,cust_7054f1f370,HDFC Bank,savings,31086.56,,,
acct_dd759ca38d,cust_125c11c08f,Punjab National Bank,savings,48211.65,,,
acct_32a2e6446f,cust_504dc7cb62,Bank of Baroda,savings,14191.53,,,
acct_8550e3b63d,cust_468c651371,Bank of Baroda,savings,27352.17,,,
acct_dffba0951b,cust_02bd27d6af,Punjab National Bank,savings,8044.23,,,
acct_c4ba782570,cust_cc9b86f54e,HDFC Bank,savings,40245.03,,,
acct_4c9ab8a280,cust_d9d4638955,ICICI Bank,savings,39302.57,,,
acct_81227fa0f5,cust_c895a47299,Bank of Baroda,savings,40765.97,,,
acct_fdda8eca41,cust_d5e441250b,Punjab National Bank,savings,10300.92,,,
acct_43f683b743,cust_48da5bdb2b,HDFC Bank,savings,48611.61,,,
acct_506746f187,cust_f4f154a338,Punjab National Bank,savings,35369.92,,,
acct_6a3669eadd,cust_f7bda5dd48,ICICI Bank,savings,43942.04,,,
acct_50deab894f,cust_449ed9a392,Bank of Baroda,savings,48322.28,,,
acct_81d89c3bc8,cust_a88bccaec3,Bank of Baroda,savings,6602.51,,,
acct_84d8751cd6,cust_bff1d6de97,Punjab National Bank,savings,17718.09,,,
acct_1ff9207d17,cust_153e11f17a,Axis Bank,savings,29394.2,,,
acct_34967743e7,cust_07e6a11beb,Punjab National Bank,savings,29371.22,,,
acct_8ae6c7ee39,cust_0fc88641bf,HDFC Bank,savings,12426.65,,,
acct_84bbc4d37d,cust_94bdbb279e,State Bank of India,savings,14896.97,,,
acct_5a2d70f413,cust_95d6cee831,State Bank of India,savings,13487.9,,,
acct_66c879f748,cust_2b769f16e5,Punjab National Bank,savings,21069.44,,,
acct_99e8c47871,cust_e1c2152fcc,Bank of Baroda,savings,2193.87,,,
acct_7b6e027283,cust_679d0eba40,Axis Bank,savings,13868.52,,,
acct_60772106b2,cust_c488193189,Bank of Baroda,savings,23569.45,,,
acct_ae8f32e71f,cust_b58436668f,Punjab National Bank,savings,38551.24,,,
acct_a4e59f4284,cust_c471a37c0f,ICICI Bank,savings,34539.35,,,
acct_5d212e36ae,cust_6c7d7b3b36,Axis Bank,savings,10866.75,,,
acct_ad53a16c52,cust_5651b77b0b,Axis Bank,savings,37066.27,,,
acct_cd57cdae2f,cust_bc217ef88e,HDFC Bank,savings,42821.14,,,
acct_799a0012d9,cust_4ff986149c,ICICI Bank,savings,45177.97,,,
acct_586fd0bd59,cust_416c1f14fe,ICICI Bank,savings,20359.17,,,
acct_4a3d20e5f9,cust_70657c1744,HDFC Bank,savings,34332.31,,,
acct_a9f8f605cb,cust_14f1146762,Axis Bank,savings,18952.05,,,
acct_78ccd5a404,cust_5f3e3ec197,Punjab National Bank,savings,25017.27,,,
acct_e0b48029c1,cust_4bd1bb8eec,Bank of Baroda,savings,42435.85,,,
acct_632b85744f,cust_cdfc700015,State Bank of India,savings,20106.17,,,
acct_edb02f03b9,cust_43a4e5a905,State Bank of India,savings,32417.43,,,
acct_af391364a7,cust_060af6fd98,Bank of Baroda,savings,46095.59,,,
acct_2e108a26b3,cust_3ff90aa78a,Punjab National Bank,savings,31242.94,,,
acct_8fe2f51ff5,cust_b7858671f5,HDFC Bank,savings,39575.26,,,
acct_c221eac293,cust_436649a87a,State Bank of India,savings,4861.82,,,
acct_5815d272b7,cust_dc450a609c,Punjab National Bank,savings,42133.81,,,
acct_368d744c27,cust_28ade482b4,HDFC Bank,savings,4300.2,,,
acct_d8c41079ae,cust_8ba5050bd4,Punjab National Bank,savings,19909.35,,,
acct_b97643530c,cust_f314a0942a,State Bank of India,savings,15084.08,,,
acct_571028d537,cust_8683d05824,ICICI Bank,savings,20401.52,,,
acct_f108495c09,cust_6df41673ae,Axis Bank,savings,30733.74,,,
acct_a176347ee8,cust_5d6deb5ae0,Punjab National Bank,savings,12309.82,,,
